State_County,State,County,Levels_Smokers,Levels_COPD
"Sacramento, California",California,Sacramento,13.3,5.4
"Clay, Arkansas",Arkansas,Clay,23.3,12.1
"Bradley, Arkansas",Arkansas,Bradley,22.0,9.9
"Hale, Alabama",Alabama,Hale,24.3,11.2
"Eagle, Colorado",Colorado,Eagle,12.7,4.2
"Polk, Arkansas",Arkansas,Polk,22.7,12.3
"Petersburg, Alaska",Alaska,Petersburg,17.4,6.7
"Pike, Alabama",Alabama,Pike,18.3,8.1
"Grant, Arkansas",Arkansas,Grant,20.6,9.3
"Las Animas, Colorado",Colorado,Las Animas,14.5,6.6
"Denali, Alaska",Alaska,Denali,18.7,6.0
"Chilton, Alabama",Alabama,Chilton,23.4,10.5
"Craighead, Arkansas",Arkansas,Craighead,21.3,8.0
"Humboldt, California",California,Humboldt,14.6,7.1
"Pima, Arizona",Arizona,Pima,13.5,6.0
"Contra Costa, California",California,Contra Costa,10.0,4.4
"Moffat, Colorado",Colorado,Moffat,18.5,6.8
"Benton, Arkansas",Arkansas,Benton,16.6,6.5
"Lake and Peninsula, Alaska",Alaska,Lake and Peninsula,29.7,9.7
"Pickens, Alabama",Alabama,Pickens,22.6,10.4
"Lowndes, Alabama",Alabama,Lowndes,24.3,11.8
"Park, Colorado",Colorado,Park,15.4,6.4
"Chambers, Alabama",Alabama,Chambers,22.4,10.4
"Phillips, Colorado",Colorado,Phillips,15.5,7.0
"Hot Spring, Arkansas",Arkansas,Hot Spring,21.9,10.4
"Tuscaloosa, Alabama",Alabama,Tuscaloosa,19.3,7.3
"Hempstead, Arkansas",Arkansas,Hempstead,21.5,10.1
"Inyo, California",California,Inyo,12.9,6.7
"Fresno, California",California,Fresno,14.4,5.4
"Monroe, Arkansas",Arkansas,Monroe,23.8,12.6
"Marin, California",California,Marin,9.0,4.9
"Prairie, Arkansas",Arkansas,Prairie,21.3,11.2
"Cherokee, Alabama",Alabama,Cherokee,23.0,12.0
"Madera, California",California,Madera,14.0,6.0
"Conway, Arkansas",Arkansas,Conway,22.1,10.5
"Clear Creek, Colorado",Colorado,Clear Creek,13.5,5.5
"Chaffee, Colorado",Colorado,Chaffee,14.7,6.5
"Mississippi, Arkansas",Arkansas,Mississippi,24.9,10.4
"Orange, California",California,Orange,10.4,4.3
"Costilla, Colorado",Colorado,Costilla,15.9,8.1
"Lee, Alabama",Alabama,Lee,17.6,6.9
"Santa Cruz, California",California,Santa Cruz,10.8,5.0
"Kings, California",California,Kings,14.5,5.2
"San Joaquin, California",California,San Joaquin,13.9,5.3
"Baxter, Arkansas",Arkansas,Baxter,19.4,11.3
"Fulton, Arkansas",Arkansas,Fulton,23.4,13.9
"Grand, Colorado",Colorado,Grand,15.6,5.9
"Ouray, Colorado",Colorado,Ouray,11.9,5.8
"Greene, Alabama",Alabama,Greene,26.2,13.9
"Haines, Alaska",Alaska,Haines,17.1,7.4
"Washington, Alabama",Alabama,Washington,23.3,11.7
"Randolph, Arkansas",Arkansas,Randolph,23.8,12.0
"Boone, Arkansas",Arkansas,Boone,21.3,10.5
"Bent, Colorado",Colorado,Bent,20.8,7.8
"Clark, Arkansas",Arkansas,Clark,18.1,7.9
"Wrangell, Alaska",Alaska,Wrangell,19.7,8.8
"Charlotte, Florida",Florida,Charlotte,16.1,11.8
"McDuffie, Georgia",Georgia,McDuffie,23.7,10.7
"Bibb, Georgia",Georgia,Bibb,21.7,8.7
"Butts, Georgia",Georgia,Butts,24.6,9.7
"Idaho, Idaho",Idaho,Idaho,17.3,9.8
"Gordon, Georgia",Georgia,Gordon,21.7,9.1
"DeSoto, Florida",Florida,DeSoto,22.0,11.5
"Jefferson, Georgia",Georgia,Jefferson,24.7,11.2
"Wilkes, Georgia",Georgia,Wilkes,22.1,11.3
"Glynn, Georgia",Georgia,Glynn,19.0,8.7
"Okaloosa, Florida",Florida,Okaloosa,17.8,7.7
"Miller, Georgia",Georgia,Miller,21.8,11.1
"Evans, Georgia",Georgia,Evans,24.1,10.8
"Dodge, Georgia",Georgia,Dodge,24.1,10.6
"Calhoun, Florida",Florida,Calhoun,24.4,11.4
"Atkinson, Georgia",Georgia,Atkinson,25.3,10.7
"Baker, Florida",Florida,Baker,24.1,9.9
"Clayton, Georgia",Georgia,Clayton,20.3,6.8
"Bear Lake, Idaho",Idaho,Bear Lake,16.4,7.8
"Marion, Florida",Florida,Marion,19.4,10.9
"Lemhi, Idaho",Idaho,Lemhi,16.2,9.2
"Boundary, Idaho",Idaho,Boundary,18.4,8.6
"Wilkinson, Georgia",Georgia,Wilkinson,23.1,11.0
"Clearwater, Idaho",Idaho,Clearwater,17.7,8.7
"Ware, Georgia",Georgia,Ware,23.9,10.8
"Okeechobee, Florida",Florida,Okeechobee,23.0,11.0
"Stewart, Georgia",Georgia,Stewart,23.9,7.7
"Henry, Georgia",Georgia,Henry,16.9,6.1
"Telfair, Georgia",Georgia,Telfair,25.3,10.5
"Lumpkin, Georgia",Georgia,Lumpkin,18.8,8.4
"Whitfield, Georgia",Georgia,Whitfield,20.6,7.9
"Bleckley, Georgia",Georgia,Bleckley,20.0,8.8
"Clarke, Georgia",Georgia,Clarke,17.6,6.3
"Teller, Colorado",Colorado,Teller,13.9,6.2
"Madison, Florida",Florida,Madison,23.3,12.0
"Pierce, Georgia",Georgia,Pierce,23.4,10.6
"Stephens, Georgia",Georgia,Stephens,20.2,9.3
"Canyon, Idaho",Idaho,Canyon,17.5,6.3
"Honolulu, Hawaii",Hawaii,Honolulu,13.1,4.2
"Jackson, Georgia",Georgia,Jackson,20.4,7.8
"Hawaii, Hawaii",Hawaii,Hawaii,16.7,6.1
"Pulaski, Georgia",Georgia,Pulaski,21.3,10.4
"New London, Connecticut",Connecticut,New London,13.0,6.0
"Walton, Georgia",Georgia,Walton,20.3,8.3
"Flagler, Florida",Florida,Flagler,18.5,10.3
"Charlton, Georgia",Georgia,Charlton,26.7,10.8
"Gadsden, Florida",Florida,Gadsden,21.2,10.5
"Walker, Georgia",Georgia,Walker,22.5,10.1
"Macon, Georgia",Georgia,Macon,25.4,11.1
"Pickens, Georgia",Georgia,Pickens,18.9,9.2
"Catoosa, Georgia",Georgia,Catoosa,19.4,8.4
"Echols, Georgia",Georgia,Echols,22.4,8.7
"Palm Beach, Florida",Florida,Palm Beach,14.0,7.6
"Newton, Georgia",Georgia,Newton,20.3,7.6
"Manatee, Florida",Florida,Manatee,15.8,9.4
"Seminole, Florida",Florida,Seminole,13.5,6.4
"Hillsborough, Florida",Florida,Hillsborough,16.1,6.6
"Camas, Idaho",Idaho,Camas,17.9,8.8
"Payette, Idaho",Idaho,Payette,16.9,7.3
"Wheeler, Georgia",Georgia,Wheeler,26.0,9.8
"Summit, Colorado",Colorado,Summit,13.2,4.4
"Oconee, Georgia",Georgia,Oconee,13.3,5.7
"Broward, Florida",Florida,Broward,14.8,6.7
"Duval, Florida",Florida,Duval,19.1,7.8
"Monroe, Georgia",Georgia,Monroe,19.5,8.4
"Jenkins, Georgia",Georgia,Jenkins,26.8,11.7
"Early, Georgia",Georgia,Early,24.3,11.6
"Clark, Idaho",Idaho,Clark,18.1,7.3
"Levy, Florida",Florida,Levy,22.9,13.0
"Burke, Georgia",Georgia,Burke,23.2,10.1
"Butte, Idaho",Idaho,Butte,17.2,8.8
"Johnson, Georgia",Georgia,Johnson,26.3,11.1
"Blaine, Idaho",Idaho,Blaine,13.5,5.8
"Pike, Georgia",Georgia,Pike,20.1,8.0
"Elbert, Georgia",Georgia,Elbert,23.2,11.3
"Oneida, Idaho",Idaho,Oneida,16.1,7.6
"San Juan, Colorado",Colorado,San Juan,14.4,6.4
"Bannock, Idaho",Idaho,Bannock,17.3,6.1
"Emanuel, Georgia",Georgia,Emanuel,24.2,10.5
"Terrell, Georgia",Georgia,Terrell,24.6,11.8
"Lake, Florida",Florida,Lake,17.9,9.5
"Bacon, Georgia",Georgia,Bacon,24.6,11.1
"Lafayette, Florida",Florida,Lafayette,25.0,10.9
"Lincoln, Idaho",Idaho,Lincoln,18.4,6.9
"Liberty, Georgia",Georgia,Liberty,21.6,6.3
"Windham, Connecticut",Connecticut,Windham,16.9,6.8
"Montgomery, Georgia",Georgia,Montgomery,22.0,9.4
"DeKalb, Georgia",Georgia,DeKalb,15.0,5.8
"Leon, Florida",Florida,Leon,15.2,6.6
"Dawson, Georgia",Georgia,Dawson,17.5,7.7
"Bonneville, Idaho",Idaho,Bonneville,15.6,5.5
"Spalding, Georgia",Georgia,Spalding,21.6,9.6
"Adams, Idaho",Idaho,Adams,16.5,8.7
"Putnam, Georgia",Georgia,Putnam,19.5,9.8
"Treutlen, Georgia",Georgia,Treutlen,25.3,11.6
"Jefferson, Florida",Florida,Jefferson,21.2,11.5
"Ada, Idaho",Idaho,Ada,13.2,5.0
"Taylor, Georgia",Georgia,Taylor,25.8,12.6
"Volusia, Florida",Florida,Volusia,19.4,9.6
"Cassia, Idaho",Idaho,Cassia,15.6,6.2
"Collier, Florida",Florida,Collier,14.2,8.7
"Glascock, Georgia",Georgia,Glascock,23.6,10.9
"Dade, Georgia",Georgia,Dade,21.3,9.8
"Bingham, Idaho",Idaho,Bingham,15.9,6.3
"Houston, Georgia",Georgia,Houston,18.0,6.8
"Liberty, Florida",Florida,Liberty,26.0,11.0
"Brevard, Florida",Florida,Brevard,16.7,9.2
"Laurens, Georgia",Georgia,Laurens,22.9,10.4
"Lanier, Georgia",Georgia,Lanier,23.6,9.6
"Fayette, Georgia",Georgia,Fayette,13.2,5.9
"Douglas, Georgia",Georgia,Douglas,18.7,6.6
"Franklin, Florida",Florida,Franklin,24.1,12.2
"Baker, Georgia",Georgia,Baker,21.2,10.4
"Ben Hill, Georgia",Georgia,Ben Hill,23.5,10.8
"San Miguel, Colorado",Colorado,San Miguel,12.2,4.5
"Effingham, Georgia",Georgia,Effingham,20.4,7.0
"Sarasota, Florida",Florida,Sarasota,14.7,9.5
"Lamar, Georgia",Georgia,Lamar,20.6,8.6
"Monroe, Florida",Florida,Monroe,16.6,7.6
"Custer, Idaho",Idaho,Custer,16.7,9.3
"Bradford, Florida",Florida,Bradford,26.3,11.6
"New Haven, Connecticut",Connecticut,New Haven,14.5,5.7
"Upson, Georgia",Georgia,Upson,23.4,10.5
