X,Y,FID,year_,MSHA_ID,name,type_,mstafips,state,county,mctyfips,lat,lon,unit,tot_prod,notes
-84.137778,36.7677780000001,149,2020,1519854,King Mountain Mine,Surface,21,Kentucky,Whitley,235,36.767778,-84.137778,short tons,"23,599",
-84.101667,36.918056,150,2020,1519856,Josie No. 3,Surface,21,Kentucky,Whitley,235,36.918056,-84.101667,short tons,"2,675",
-83.608056,36.782222,151,2020,1519857,Tackett Creek #2,Surface,21,Kentucky,Bell,13,36.782222,-83.608056,short tons,"48,380",
-83.148611,36.7983330000001,152,2020,1519858,Cranks Creek,Surface,21,Kentucky,Harlan,95,36.798333,-83.148611,short tons,"71,297",
-83.170556,36.8591670000001,153,2020,1519859,Magnum #1,Underground,21,Kentucky,Harlan,95,36.859167,-83.170556,short tons,"246,719",
-82.5994439999999,37.4211110000001,154,2020,1519863,Mine 219,Surface,21,Kentucky,Pike,195,37.421111,-82.599444,short tons,"42,146",
-83.92,36.7752780000001,155,2020,1519864,Bryants Store Mine,Surface,21,Kentucky,Knox,121,36.775278,-83.92,short tons,"29,620",
-84.3199999999999,36.7147220000001,156,2020,1519865,Wilburn,Surface,21,Kentucky,Whitley,235,36.714722,-84.32,short tons,115,
-81.550556,37.2277780000001,157,2020,1519868,Cv30,Surface,54,West Virginia,Randolph,83,37.227778,-81.550556,short tons,"12,202",
-82.836111,37.3963890000001,158,2020,1519871,Highwall Miner #2,Surface,21,Kentucky,Knott,119,37.396389,-82.836111,short tons,"81,704",
-82.791389,37.0202780000001,159,2020,1519872,Trace Fork,Surface,21,Kentucky,Letcher,133,37.020278,-82.791389,short tons,"50,660",
-83.1769439999999,36.8750000000001,160,2020,1519873,Bailey Creek,Surface,21,Kentucky,Harlan,95,36.875,-83.176944,short tons,"151,754",
-83.942778,36.7725,161,2020,1519877,Remcoal Inc. #1,Surface,21,Kentucky,Knox,121,36.7725,-83.942778,short tons,"27,543",
-83.116389,36.936944,162,2020,1519882,K-7,Surface,21,Kentucky,Harlan,95,36.936944,-83.116389,short tons,"5,162",
-83.504722,36.7316670000001,163,2020,1519885,Insull Ridge,Surface,21,Kentucky,Bell,13,36.731667,-83.504722,short tons,"37,082",
-83.620278,36.6891670000001,164,2020,1519891,Right Fork Mine,Surface,21,Kentucky,Bell,13,36.689167,-83.620278,short tons,"2,338",
-93.475,31.96,165,2020,1601031,Dolet Hills Lignite Company,Surface,22,Louisiana,De Soto,31,31.96,-93.475,short tons,"455,541",
-92.9691769999999,32.16396,166,2020,1601499,Five Forks Mine,Surface,22,Louisiana,Natchitoches,69,32.16396,-92.969177,short tons,"221,041",
-78.918333,39.613611,167,2020,1800133,Cabin Run,Surface,24,Maryland,Allegany,1,39.613611,-78.918333,short tons,"210,740",
-79.175,39.4,168,2020,1800372,No 1 Strip,Surface,24,Maryland,Garrett,23,39.4,-79.175,short tons,"1,101",
-78.9697219999999,39.5847220000001,169,2020,1800391,No 1 Strip,Surface,24,Maryland,Allegany,1,39.584722,-78.969722,short tons,"35,448",
-79.0049999999999,39.5261110000001,170,2020,1800529,Cobra No 1,Surface,24,Maryland,Allegany,1,39.526111,-79.005,short tons,"25,804",
-79.0083329999999,39.5861110000001,171,2020,1800630,#1 Strip,Surface,24,Maryland,Garrett,23,39.586111,-79.008333,short tons,"2,406",
-79.04803,39.5421460000001,172,2020,1800713,Job #3,Surface,24,Maryland,Allegany,1,39.542146,-79.04803,short tons,"190,277",
-79.9,39.1888890000001,173,2020,1800752,Federal Hill Mine,Surface,24,Maryland,Allegany,1,39.188889,-79.9,short tons,"8,536",
-79.06146,39.4953310000001,174,2020,1800765,No. 1 Surface,Surface,24,Maryland,Garrett,23,39.495331,-79.06146,short tons,"22,955",
-78.962777,39.618055,175,2020,1800769,Carlos Surface,Surface,24,Maryland,Allegany,1,39.618055,-78.962777,short tons,"119,277",
-79.975898,39.6290730000001,176,2020,1800776,Walker Mine,Surface,24,Maryland,Allegany,1,39.629073,-79.975898,short tons,"14,122",
-79.2018649999999,39.667108,177,2020,1800780,Casselman Mine,Underground,24,Maryland,Garrett,23,39.667108,-79.201865,short tons,"523,490",
-89.201141,33.7959270000001,178,2020,2200690,Red Hills Mine,Surface,28,Mississippi,Choctaw,19,33.795927,-89.201141,short tons,"2,587,165",
-94.6,38.1666660000001,179,2020,2302262,Foster South,Surface,29,Missouri,Bates,13,38.166666,-94.6,short tons,"158,739",
-104.375,47.416389,180,2020,2400106,Savage Mine,Surface,30,Montana,Richland,83,47.416389,-104.375,short tons,"274,389",
-106.831111,45.0377780000001,181,2020,2400839,Decker Mine,Surface,30,Montana,Big Horn,3,45.037778,-106.831111,short tons,"3,212,932",
-107.590223,45.7295700000001,182,2020,2400910,Absaloka Mine,Surface,30,Montana,Big Horn,3,45.72957,-107.590223,short tons,"2,082,588",
-106.750278,45.3583330000001,183,2020,2401457,Spring Creek Coal Company,Surface,30,Montana,Big Horn,3,45.358333,-106.750278,short tons,"9,513,255",
-106.6517,45.879153,184,2020,2401747,Rosebud Mine & Crusher/Conveyo,Surface,30,Montana,Rosebud,87,45.879153,-106.6517,short tons,"5,315,470",
-108.705589,46.446959,185,2020,2401950,Bull Mountains Mine No 1,Underground,30,Montana,Musselshell,65,46.446959,-108.705589,short tons,"6,022,919",
-108.541944,36.525,186,2020,2900097,Navajo Mine,Surface,35,New Mexico,San Juan,45,36.525,-108.541944,short tons,"4,448,874",
-108.375,36.8500000000001,187,2020,2902170,San Juan Mine 1,Underground,35,New Mexico,San Juan,45,36.85,-108.375,short tons,"1,245,714",
-108.65,34.6000000000001,188,2020,2902257,El Segundo,Surface,35,New Mexico,Mckinley,31,34.6,-108.65,short tons,"4,554,536",
-101.25,47.5344440000001,189,2020,3200043,Beulah Mine,Surface,38,North Dakota,Mercer,57,47.534444,-101.25,short tons,"435,636",
-101.212778,47.0647220000001,190,2020,3200218,Center Mine,Surface,38,North Dakota,Oliver,65,47.064722,-101.212778,short tons,"4,168,628",
-101.69132,47.127145,191,2020,3200491,Falkirk Mine,Surface,38,North Dakota,Mclean,55,47.127145,-101.69132,short tons,"7,261,161",
-101.233889,47.5000000000001,192,2020,3200595,Freedom Mine,Surface,38,North Dakota,Mercer,57,47.5,-101.233889,short tons,"12,592,297",
-101.882798,47.1672750000001,193,2020,3201028,Coyote Creek Mine,Surface,38,North Dakota,Mercer,57,47.167275,-101.882798,short tons,"1,980,470",
-81.193686,40.008717,194,2020,3300965,Ccu Belmont Strip,Surface,39,Ohio,Belmont,13,40.008717,-81.193686,short tons,"217,888",
-80.9194439999999,40.347222,195,2020,3300968,Hopedale Mine,Underground,39,Ohio,Harrison,67,40.347222,-80.919444,short tons,"281,612",
-81.010278,39.59,196,2020,3301070,Century Mine,Underground,39,Ohio,Monroe,111,39.59,-81.010278,short tons,"1,689,296",
-81.474285,39.651864,197,2020,3301925,Orange Strip,Surface,39,Ohio,Noble,121,39.651864,-81.474285,short tons,"460,913",
-81.5561949999999,40.400178,198,2020,3304179,Ccu Tuscarawas Strip,Surface,39,Ohio,Tuscarawas,157,40.400178,-81.556195,short tons,"11,771",
-80.9695859999999,40.166005,199,2020,3304414,Ccu Harrison Strip,Surface,39,Ohio,Harrison,67,40.166005,-80.969586,short tons,"193,861",
-81.490556,40.3238890000001,200,2020,3304509,Tusky,Underground,39,Ohio,Tuscarawas,157,40.323889,-81.490556,short tons,"101,086",
-82.0649999999999,39.586667,201,2020,3304526,Buckingham  Mine,Underground,39,Ohio,Perry,127,39.586667,-82.065,short tons,"104,168",
-80.9991429999999,40.235909,202,2020,3304577,Ccu Sexton Strip,Surface,39,Ohio,Harrison,67,40.235909,-80.999143,short tons,"165,772",
-81.293736,40.211505,203,2020,3304645,Vail Mine,Underground,39,Ohio,Harrison,67,40.211505,-81.293736,short tons,"360,138",
-80.679444,38.026667,204,2020,3304709,Hwm # 36,Surface,54,West Virginia,Mcdowell,47,38.026667,-80.679444,short tons,"60,823",
-95.937248,35.502666,205,2020,3401062,Joshua Coal Company,Surface,40,Oklahoma,Okmulgee,111,35.502666,-95.937248,short tons,150,
-95.4127779999999,36.6897220000001,206,2020,3402168,Spur Mine,Surface,40,Oklahoma,Craig,35,36.689722,-95.412778,short tons,645,
-78.1699169999999,41.111073,207,2020,3600884,"River Hill Coal Co., Inc.",Surface,42,Pennsylvania,Clearfield,33,41.111073,-78.169917,short tons,"13,637",
-78.659167,41.0822220000001,208,2020,3601241,Rockton/Shaffer Mine,Surface,42,Pennsylvania,Clearfield,33,41.082222,-78.659167,short tons,"3,565",
-75.977771,40.8047750000001,209,2020,3601761,Tamaqua Mine,Surface,42,Pennsylvania,Schuylkill,107,40.804775,-75.977771,short tons,"229,448",
-76.235833,40.6669440000001,210,2020,3601818,R S & W Drift,Underground,42,Pennsylvania,Schuylkill,107,40.666944,-76.235833,short tons,"17,505",
-76.1675,40.714166,211,2020,3601877,K K Strip,Surface,42,Pennsylvania,Schuylkill,107,40.714166,-76.1675,short tons,"2,001",
-76.304166,40.715,212,2020,3601965,Buck Run P-8 P-10,Surface,42,Pennsylvania,Schuylkill,107,40.715,-76.304166,short tons,"129,739",
-76.2122219999999,40.718056,213,2020,3601977,Wadesville P-33,Surface,42,Pennsylvania,Schuylkill,107,40.718056,-76.212222,short tons,"186,090",
-76.6508479999999,40.768307,214,2020,3602203,N & L Slope,Underground,42,Pennsylvania,Northumberland,97,40.768307,-76.650848,short tons,"2,254",
-77.3524889999999,41.4654760000001,215,2020,3602703,Fisher Mining Company,Surface,42,Pennsylvania,Lycoming,81,41.465476,-77.352489,short tons,"180,220",
-78.375075,40.859491,216,2020,3602733,Kasubick #4,Surface,42,Pennsylvania,Clearfield,33,40.859491,-78.375075,short tons,"4,451",
-78.9827779999999,39.971667,217,2020,3603328,Mine No 1,Surface,42,Pennsylvania,Somerset,111,39.971667,-78.982778,short tons,"167,309",
-78.8036949999999,40.9260380000001,218,2020,3603561,Mcclure Strip,Surface,42,Pennsylvania,Jefferson,65,40.926038,-78.803695,short tons,"16,461",
-78.183056,40.931944,219,2020,3604186,A W Long Coal Company,Surface,42,Pennsylvania,Clearfield,33,40.931944,-78.183056,short tons,"1,007",
-75.983056,40.9916670000001,220,2020,3604383,Lattimer Division,Surface,42,Pennsylvania,Luzerne,79,40.991667,-75.983056,short tons,"53,327",
-79.975424,40.9378,221,2020,3604782,Worthville Mine,Surface,42,Pennsylvania,Jefferson,65,40.9378,-79.975424,short tons,"4,196",
-79.972685,39.7955830000001,222,2020,3605018,Cumberland Mine,Underground,42,Pennsylvania,Greene,59,39.795583,-79.972685,short tons,"5,621,165",
-79.5141369999999,41.274639,223,2020,3605208,Ancient Sun Strip Saylor-Mckin,Surface,42,Pennsylvania,Clarion,31,41.274639,-79.514137,short tons,"5,162",
-78.10249,41.152389,224,2020,3605493,Reese No 1 & 2 Strip,Surface,42,Pennsylvania,Clearfield,33,41.152389,-78.10249,short tons,"1,300",
-76.1438879999999,40.6972220000001,225,2020,3605518,Eagle Hill Strip,Surface,42,Pennsylvania,Schuylkill,107,40.697222,-76.143888,short tons,"5,582",
