State_County,StateDesc,LocationName,Levels_Smokers,Levels_COPD,Low CL COPD,High CL COPD
"Indiana, Miami",Indiana,Miami,23.1,10.2,9.0,11.5
"Iowa, Page",Iowa,Page,18.5,7.3,6.2,8.5
"Iowa, Decatur",Iowa,Decatur,17.5,7.6,6.3,8.9
"Indiana, Montgomery",Indiana,Montgomery,21.4,9.4,8.1,10.9
"Iowa, Butler",Iowa,Butler,16.9,7.4,6.3,8.6
"Illinois, De Witt",Illinois,De Witt,18.9,8.5,7.2,9.8
"Indiana, Parke",Indiana,Parke,23.0,10.8,9.4,12.4
"Indiana, Gibson",Indiana,Gibson,20.7,9.0,7.8,10.3
"Iowa, Davis",Iowa,Davis,20.0,7.7,6.5,9.1
"Illinois, McHenry",Illinois,McHenry,15.0,5.7,4.8,6.7
"Iowa, Pocahontas",Iowa,Pocahontas,18.9,8.0,6.8,9.2
"Illinois, Kendall",Illinois,Kendall,13.7,4.5,3.9,5.2
"Iowa, Boone",Iowa,Boone,18.3,6.5,5.5,7.6
"Illinois, Macon",Illinois,Macon,19.1,8.6,7.4,9.8
"Illinois, Tazewell",Illinois,Tazewell,17.2,7.5,6.4,8.7
"Illinois, White",Illinois,White,20.1,9.6,8.2,11.1
"Iowa, Webster",Iowa,Webster,18.9,7.3,6.2,8.4
"Indiana, Martin",Indiana,Martin,22.0,10.2,8.7,11.7
"Indiana, Lawrence",Indiana,Lawrence,21.8,10.2,8.8,11.6
"Indiana, Union",Indiana,Union,21.7,10.1,8.5,11.6
"Illinois, Richland",Illinois,Richland,19.4,9.3,7.9,10.8
"Indiana, Ohio",Indiana,Ohio,21.0,9.8,8.4,11.4
"Iowa, Winnebago",Iowa,Winnebago,16.5,6.9,5.8,8.0
"Illinois, Johnson",Illinois,Johnson,19.9,8.9,7.7,10.3
"Indiana, Morgan",Indiana,Morgan,20.5,9.2,7.8,10.7
"Idaho, Washington",Idaho,Washington,16.8,8.8,7.6,10.2
"Indiana, White",Indiana,White,20.3,9.5,8.1,10.8
"Iowa, Grundy",Iowa,Grundy,15.4,6.3,5.3,7.3
"Illinois, Menard",Illinois,Menard,17.1,7.7,6.6,8.9
"Iowa, Osceola",Iowa,Osceola,17.1,7.6,6.4,8.8
"Illinois, Hancock",Illinois,Hancock,18.1,9.0,7.8,10.5
"Iowa, Clinton",Iowa,Clinton,19.1,7.8,6.7,9.1
"Iowa, Lyon",Iowa,Lyon,17.4,6.6,5.5,7.7
"Indiana, Greene",Indiana,Greene,22.0,10.5,9.1,12.1
"Illinois, Bond",Illinois,Bond,19.0,8.2,6.9,9.4
"Illinois, Livingston",Illinois,Livingston,19.9,8.8,7.7,10.0
"Indiana, Warren",Indiana,Warren,19.8,9.4,8.0,10.8
"Indiana, Clark",Indiana,Clark,20.6,8.6,7.4,9.8
"Indiana, Warrick",Indiana,Warrick,17.3,7.6,6.4,8.9
"Iowa, Union",Iowa,Union,18.6,7.7,6.6,8.8
"Indiana, Decatur",Indiana,Decatur,21.0,9.1,7.8,10.5
"Illinois, Lee",Illinois,Lee,18.4,8.0,6.9,9.3
"Iowa, Scott",Iowa,Scott,17.6,6.0,5.1,7.1
"Indiana, Boone",Indiana,Boone,15.7,6.1,5.0,7.3
"Illinois, Lawrence",Illinois,Lawrence,21.2,8.7,7.5,9.9
"Iowa, Johnson",Iowa,Johnson,13.6,4.4,3.7,5.2
"Indiana, Shelby",Indiana,Shelby,21.7,9.3,8.0,10.7
"Idaho, Power",Idaho,Power,16.4,6.5,5.7,7.5
"Iowa, Ida",Iowa,Ida,17.4,7.1,6.1,8.3
"Illinois, Schuyler",Illinois,Schuyler,19.4,9.3,7.9,10.7
"Indiana, Jefferson",Indiana,Jefferson,21.4,9.6,8.3,11.0
"Illinois, Scott",Illinois,Scott,19.6,8.8,7.7,10.0
"Iowa, Muscatine",Iowa,Muscatine,16.6,6.1,5.3,7.0
"Illinois, Coles",Illinois,Coles,18.8,8.0,6.9,9.3
"Iowa, Humboldt",Iowa,Humboldt,17.5,7.6,6.5,8.9
"Iowa, Calhoun",Iowa,Calhoun,18.0,7.6,6.5,8.8
"Illinois, Bureau",Illinois,Bureau,17.0,8.1,7.0,9.4
"Iowa, Cedar",Iowa,Cedar,16.2,6.3,5.5,7.3
"Iowa, Taylor",Iowa,Taylor,18.7,7.9,6.8,9.0
"Idaho, Teton",Idaho,Teton,13.7,4.7,3.9,5.5
"Indiana, Brown",Indiana,Brown,18.4,9.7,8.0,11.4
"Indiana, Newton",Indiana,Newton,21.7,10.0,8.7,11.4
"Illinois, Union",Illinois,Union,19.7,9.5,8.1,11.1
"Idaho, Shoshone",Idaho,Shoshone,21.1,10.1,8.8,11.6
"Illinois, Edwards",Illinois,Edwards,18.8,8.8,7.6,10.0
"Iowa, Cerro Gordo",Iowa,Cerro Gordo,16.4,6.9,5.8,8.0
"Indiana, Hamilton",Indiana,Hamilton,12.7,5.0,4.2,6.0
"Illinois, Shelby",Illinois,Shelby,19.2,9.1,7.8,10.3
"Iowa, Madison",Iowa,Madison,16.9,6.1,5.2,7.1
"Indiana, Wells",Indiana,Wells,20.0,9.0,7.8,10.2
"Iowa, Jackson",Iowa,Jackson,17.9,7.7,6.6,8.8
"Illinois, Kankakee",Illinois,Kankakee,17.7,7.5,6.5,8.5
"Indiana, DeKalb",Indiana,DeKalb,21.2,8.9,7.6,10.2
"Iowa, Van Buren",Iowa,Van Buren,19.7,8.4,7.1,9.8
"Indiana, Orange",Indiana,Orange,24.0,11.6,9.9,13.3
"Iowa, Floyd",Iowa,Floyd,18.5,7.8,6.7,9.1
"Indiana, Owen",Indiana,Owen,23.3,11.4,9.8,13.0
"Illinois, St. Clair",Illinois,St. Clair,18.0,7.3,6.4,8.3
"Illinois, Clark",Illinois,Clark,19.1,8.7,7.4,9.9
"Indiana, Marion",Indiana,Marion,18.8,7.4,6.3,8.4
"Illinois, Massac",Illinois,Massac,20.3,9.8,8.5,11.1
"Iowa, Lucas",Iowa,Lucas,19.1,8.0,6.9,9.1
"Indiana, Grant",Indiana,Grant,21.3,10.1,8.8,11.5
"Iowa, Plymouth",Iowa,Plymouth,15.6,6.4,5.4,7.4
"Iowa, Hancock",Iowa,Hancock,16.5,7.0,5.9,8.3
"Illinois, Adams",Illinois,Adams,17.9,8.1,6.9,9.4
"Illinois, Champaign",Illinois,Champaign,14.6,5.5,4.8,6.3
"Iowa, Sioux",Iowa,Sioux,14.7,5.4,4.6,6.4
"Iowa, Mitchell",Iowa,Mitchell,17.3,7.4,6.4,8.7
"Indiana, Allen",Indiana,Allen,19.2,7.8,6.7,9.0
"Illinois, Jackson",Illinois,Jackson,17.9,7.5,6.4,8.5
"Indiana, Carroll",Indiana,Carroll,20.3,9.6,8.3,11.1
"Illinois, Christian",Illinois,Christian,19.7,8.8,7.5,10.3
"Illinois, Hamilton",Illinois,Hamilton,18.8,9.0,7.8,10.5
"Illinois, Perry",Illinois,Perry,21.2,9.0,7.7,10.3
"Iowa, Clay",Iowa,Clay,17.0,7.1,6.0,8.2
"Illinois, Jersey",Illinois,Jersey,17.9,7.9,6.9,9.2
"Illinois, Washington",Illinois,Washington,17.3,7.8,6.6,9.0
"Illinois, Kane",Illinois,Kane,14.9,5.4,4.6,6.2
"Indiana, Ripley",Indiana,Ripley,21.3,9.5,8.1,10.8
"Iowa, Sac",Iowa,Sac,16.8,7.3,6.2,8.6
"Iowa, Iowa",Iowa,Iowa,17.0,6.8,5.8,7.9
"Iowa, Clarke",Iowa,Clarke,18.1,7.5,6.5,8.6
"Indiana, Putnam",Indiana,Putnam,20.6,8.6,7.4,9.8
"Indiana, LaPorte",Indiana,LaPorte,24.1,9.9,8.6,11.2
"Idaho, Twin Falls",Idaho,Twin Falls,16.3,6.4,5.6,7.3
"Illinois, Brown",Illinois,Brown,20.9,7.0,6.1,7.9
"Indiana, Dearborn",Indiana,Dearborn,21.0,9.1,7.7,10.6
"Indiana, Whitley",Indiana,Whitley,20.0,8.9,7.5,10.4
"Iowa, Jones",Iowa,Jones,18.3,7.4,6.3,8.5
"Illinois, Mason",Illinois,Mason,20.1,9.7,8.3,11.1
"Illinois, Grundy",Illinois,Grundy,16.9,6.3,5.4,7.1
"Illinois, Macoupin",Illinois,Macoupin,19.3,8.9,7.6,10.2
"Illinois, Saline",Illinois,Saline,21.2,10.2,8.8,11.9
"Iowa, Black Hawk",Iowa,Black Hawk,18.0,6.3,5.4,7.2
"Illinois, Pulaski",Illinois,Pulaski,21.9,11.0,9.9,12.2
"Iowa, Tama",Iowa,Tama,17.8,7.2,6.2,8.2
"Illinois, Logan",Illinois,Logan,18.3,7.5,6.4,8.7
"Indiana, Jasper",Indiana,Jasper,20.4,8.8,7.6,10.1
"Illinois, Iroquois",Illinois,Iroquois,19.1,9.1,7.8,10.4
"Illinois, Ford",Illinois,Ford,18.8,8.6,7.4,10.0
"Iowa, Ringgold",Iowa,Ringgold,17.1,7.8,6.6,9.1
"Illinois, Calhoun",Illinois,Calhoun,18.7,9.2,8.0,10.7
"Iowa, Guthrie",Iowa,Guthrie,17.0,7.4,6.3,8.6
"Indiana, Posey",Indiana,Posey,19.5,8.7,7.4,10.0
"Indiana, Daviess",Indiana,Daviess,24.0,10.7,9.2,12.2
"Indiana, Dubois",Indiana,Dubois,18.7,8.4,7.1,9.7
"Iowa, Jefferson",Iowa,Jefferson,15.8,6.7,5.6,7.9
"Iowa, Polk",Iowa,Polk,17.5,5.4,4.5,6.4
"Indiana, Pulaski",Indiana,Pulaski,22.3,10.5,9.1,12.0
"Illinois, Warren",Illinois,Warren,17.3,7.8,6.8,9.1
"Indiana, Benton",Indiana,Benton,21.8,10.2,8.8,11.6
"Illinois, Boone",Illinois,Boone,16.5,6.6,5.6,7.5
"Iowa, O'Brien",Iowa,O'Brien,18.0,7.3,6.2,8.4
"Indiana, Madison",Indiana,Madison,23.5,10.3,9.0,11.7
"Illinois, Pope",Illinois,Pope,19.4,10.4,8.8,12.0
"Indiana, Switzerland",Indiana,Switzerland,25.2,11.8,10.3,13.4
"Iowa, Dickinson",Iowa,Dickinson,14.9,6.8,5.6,8.0
"Iowa, Henry",Iowa,Henry,18.0,6.8,5.8,7.9
"Louisiana, Acadia",Louisiana,Acadia,24.1,10.4,9.1,11.7
"Kentucky, Letcher",Kentucky,Letcher,30.7,16.2,14.0,18.6
"Kentucky, Clark",Kentucky,Clark,22.9,10.4,9.0,12.1
"Kansas, Morris",Kansas,Morris,17.1,8.1,6.8,9.4
"Kentucky, Rowan",Kentucky,Rowan,24.8,11.0,9.5,12.6
"Kansas, Osage",Kansas,Osage,18.5,8.5,7.3,9.9
"Kentucky, Webster",Kentucky,Webster,27.6,12.9,11.3,14.6
"Kentucky, Barren",Kentucky,Barren,27.2,12.7,11.0,14.4
"Kansas, Geary",Kansas,Geary,17.9,4.6,4.2,5.0
"Kentucky, Nelson",Kentucky,Nelson,22.1,9.2,8.0,10.6
"Louisiana, Union",Louisiana,Union,21.9,9.7,8.5,11.0
"Kansas, Comanche",Kansas,Comanche,16.0,7.8,6.7,8.8
"Kansas, Greeley",Kansas,Greeley,15.1,6.6,5.5,7.9
"Louisiana, Lincoln",Louisiana,Lincoln,18.7,7.2,6.3,8.1
"Kansas, Morton",Kansas,Morton,17.1,7.7,6.6,8.9
"Kentucky, Owen",Kentucky,Owen,26.6,12.6,11.0,14.3
"Louisiana, West Carroll",Louisiana,West Carroll,24.5,10.8,9.5,12.2
"Kentucky, Trimble",Kentucky,Trimble,25.3,11.7,10.2,13.1
"Kansas, Decatur",Kansas,Decatur,16.5,8.6,7.3,9.9
"Louisiana, Tensas",Louisiana,Tensas,27.1,14.5,12.9,16.1
"Kansas, Sherman",Kansas,Sherman,15.3,6.6,5.7,7.6
"Kentucky, Fayette",Kentucky,Fayette,16.9,7.2,6.1,8.4
"Kansas, Neosho",Kansas,Neosho,18.9,8.5,7.4,9.9
"Kentucky, Fleming",Kentucky,Fleming,26.7,12.9,11.1,14.7
"Kansas, Pratt",Kansas,Pratt,16.0,7.2,6.1,8.5
"Kentucky, Estill",Kentucky,Estill,30.0,15.1,13.1,17.2
"Kentucky, Laurel",Kentucky,Laurel,26.5,12.8,10.9,14.6
"Kansas, Clay",Kansas,Clay,16.0,7.6,6.4,8.8
"Kentucky, Lawrence",Kentucky,Lawrence,30.5,14.9,12.8,17.0
"Kentucky, Anderson",Kentucky,Anderson,22.5,10.1,8.7,11.7
"Louisiana, Assumption",Louisiana,Assumption,24.9,10.6,9.5,11.8
"Kansas, Gove",Kansas,Gove,16.7,8.5,7.2,10.0
"Kansas, Ellis",Kansas,Ellis,15.5,6.2,5.3,7.2
"Louisiana, Evangeline",Louisiana,Evangeline,27.5,11.3,9.9,12.5
"Louisiana, Plaquemines",Louisiana,Plaquemines,21.4,7.8,6.8,8.7
"Louisiana, St. Landry",Louisiana,St. Landry,26.0,10.5,9.3,11.7
"Kentucky, Lincoln",Kentucky,Lincoln,27.2,13.3,11.4,15.1
"Kentucky, Mason",Kentucky,Mason,23.6,11.1,9.6,12.8
"Kentucky, Franklin",Kentucky,Franklin,20.2,9.1,7.8,10.5
"Kansas, Butler",Kansas,Butler,16.5,6.4,5.4,7.5
"Maine, Cumberland",Maine,Cumberland,13.5,6.8,5.6,8.2
"Louisiana, Rapides",Louisiana,Rapides,21.4,8.7,7.6,9.9
"Kansas, Thomas",Kansas,Thomas,17.0,6.9,6.0,7.9
"Kentucky, Magoffin",Kentucky,Magoffin,30.7,15.8,13.7,18.0
"Louisiana, Terrebonne",Louisiana,Terrebonne,24.2,9.6,8.4,10.8
"Kansas, Russell",Kansas,Russell,17.1,8.5,7.1,10.1
"Kentucky, Union",Kentucky,Union,24.7,10.9,9.6,12.2
"Kentucky, Larue",Kentucky,Larue,25.5,11.6,10.1,13.2
"Kentucky, Elliott",Kentucky,Elliott,31.1,15.3,13.4,17.4
"Kansas, Clark",Kansas,Clark,15.5,7.0,6.0,8.2
"Kansas, Franklin",Kansas,Franklin,18.1,7.4,6.5,8.5
"Kansas, Republic",Kansas,Republic,15.8,8.3,7.0,9.6
"Kentucky, Logan",Kentucky,Logan,26.0,11.6,10.1,13.3
"Kansas, Jefferson",Kansas,Jefferson,17.5,7.1,6.1,8.3
"Kentucky, Wayne",Kentucky,Wayne,27.6,14.7,12.8,16.8
"Louisiana, Red River",Louisiana,Red River,24.8,11.2,9.9,12.5
"Kentucky, Madison",Kentucky,Madison,21.0,8.7,7.5,10.1
"Kentucky, Daviess",Kentucky,Daviess,22.6,9.8,8.4,11.3
"Kentucky, Bullitt",Kentucky,Bullitt,23.4,9.6,8.3,10.9
"Kentucky, Woodford",Kentucky,Woodford,18.9,8.8,7.4,10.3
"Kentucky, Harrison",Kentucky,Harrison,25.3,12.0,10.3,13.7
"Kentucky, Shelby",Kentucky,Shelby,20.6,8.7,7.4,10.2
"Kansas, Nemaha",Kansas,Nemaha,16.3,7.1,5.9,8.2
"Louisiana, Jefferson",Louisiana,Jefferson,18.5,7.3,6.4,8.3
"Kentucky, Washington",Kentucky,Washington,23.3,10.8,9.2,12.4
"Kentucky, Owsley",Kentucky,Owsley,29.4,15.2,12.9,17.4
"Kentucky, Powell",Kentucky,Powell,27.0,12.3,10.6,14.2
"Kansas, Norton",Kansas,Norton,18.1,7.6,6.5,8.8
"Kansas, Gray",Kansas,Gray,16.5,6.5,5.5,7.7
"Kansas, Seward",Kansas,Seward,17.2,5.8,5.2,6.4
"Kentucky, Leslie",Kentucky,Leslie,32.1,16.6,14.4,18.8
"Kentucky, Metcalfe",Kentucky,Metcalfe,29.2,14.4,12.4,16.4
"Kentucky, Christian",Kentucky,Christian,24.9,8.9,8.0,9.8
"Louisiana, Jefferson Davis",Louisiana,Jefferson Davis,23.2,9.6,8.4,10.8
"Kansas, Montgomery",Kansas,Montgomery,19.2,8.6,7.6,9.8
"Kansas, Trego",Kansas,Trego,15.9,7.9,6.6,9.3
"Kansas, Wichita",Kansas,Wichita,14.1,6.0,5.2,7.0
"Kentucky, Breathitt",Kentucky,Breathitt,30.1,15.6,13.5,18.0
"Kentucky, Breckinridge",Kentucky,Breckinridge,25.7,12.7,11.1,14.5
"Kansas, McPherson",Kansas,McPherson,15.9,7.0,6.0,8.3
"Louisiana, East Feliciana",Louisiana,East Feliciana,23.9,9.3,8.3,10.3
"Kansas, Lyon",Kansas,Lyon,15.7,6.2,5.3,7.1
"Kansas, Kearny",Kansas,Kearny,18.6,7.4,6.5,8.4
"Kansas, Atchison",Kansas,Atchison,18.7,7.3,6.3,8.3
"Kentucky, Greenup",Kentucky,Greenup,22.3,11.4,9.9,13.0
"Kentucky, Monroe",Kentucky,Monroe,27.3,13.6,11.6,15.6
"Kansas, Cheyenne",Kansas,Cheyenne,16.1,8.3,6.8,9.8
"Kansas, Rush",Kansas,Rush,16.1,8.1,6.8,9.5
"Kansas, Douglas",Kansas,Douglas,13.9,4.8,4.1,5.6
"Kentucky, Caldwell",Kentucky,Caldwell,23.6,12.0,10.2,13.6
"Kentucky, Edmonson",Kentucky,Edmonson,27.3,13.5,11.7,15.4
"Kansas, Jewell",Kansas,Jewell,17.1,9.8,8.2,11.4
"Kentucky, Bracken",Kentucky,Bracken,25.8,11.8,10.3,13.6
"Louisiana, Lafourche",Louisiana,Lafourche,22.9,8.9,7.7,10.1
"Kentucky, Muhlenberg",Kentucky,Muhlenberg,25.5,12.2,10.6,13.7
"Kansas, Stafford",Kansas,Stafford,16.7,8.1,6.8,9.4
"Kentucky, Rockcastle",Kentucky,Rockcastle,27.8,13.8,12.0,15.9
"Maine, Franklin",Maine,Franklin,18.6,9.6,8.1,11.3
"Kentucky, Boyd",Kentucky,Boyd,23.9,11.6,10.0,13.3
"Kentucky, Carter",Kentucky,Carter,27.5,13.8,12.0,15.7
"Kentucky, Graves",Kentucky,Graves,25.2,11.6,9.9,13.1
"Kentucky, Floyd",Kentucky,Floyd,30.0,15.6,13.4,17.8
"Kansas, Chase",Kansas,Chase,16.4,8.0,6.8,9.4
"Kentucky, Lyon",Kentucky,Lyon,22.7,11.6,10.0,13.1
"Kansas, Jackson",Kansas,Jackson,18.1,7.6,6.6,8.6
"Kansas, Mitchell",Kansas,Mitchell,16.9,8.0,6.8,9.3
"Kansas, Labette",Kansas,Labette,20.3,8.8,7.7,10.1
"Louisiana, Claiborne",Louisiana,Claiborne,27.6,11.9,10.7,13.1
"Kansas, Miami",Kansas,Miami,16.0,6.1,5.2,7.1
"Kentucky, Wolfe",Kentucky,Wolfe,32.6,17.3,15.2,19.6
"Kentucky, Morgan",Kentucky,Morgan,29.8,13.4,11.5,15.3
"Kentucky, Taylor",Kentucky,Taylor,24.1,10.9,9.5,12.4
"Kansas, Wallace",Kansas,Wallace,14.4,7.0,5.8,8.3
"Kentucky, Robertson",Kentucky,Robertson,24.9,13.3,11.4,15.3
"Kansas, Dickinson",Kansas,Dickinson,17.6,7.9,6.7,9.1
"Louisiana, Vermilion",Louisiana,Vermilion,23.8,9.4,8.2,10.8
"Maine, Aroostook",Maine,Aroostook,20.3,11.9,10.1,13.7
"Louisiana, Pointe Coupee",Louisiana,Pointe Coupee,23.1,10.2,9.0,11.5
"Kentucky, McCreary",Kentucky,McCreary,32.8,15.1,13.4,16.9
"Kansas, Leavenworth",Kansas,Leavenworth,17.4,5.8,4.9,6.7
"Kentucky, Ballard",Kentucky,Ballard,23.2,12.0,10.4,13.8
"Louisiana, Lafayette",Louisiana,Lafayette,20.5,7.0,6.0,8.1
"Kansas, Phillips",Kansas,Phillips,17.3,8.5,7.1,9.8
"Louisiana, Livingston",Louisiana,Livingston,22.9,7.9,6.8,9.1
"Kentucky, Butler",Kentucky,Butler,26.5,12.6,11.0,14.4
"Kansas, Sumner",Kansas,Sumner,17.3,7.7,6.6,8.8
"Kansas, Edwards",Kansas,Edwards,16.7,7.9,6.7,9.1
"Kentucky, Spencer",Kentucky,Spencer,22.2,8.9,7.7,10.3
"Kansas, Coffey",Kansas,Coffey,16.8,7.8,6.6,9.0
"Louisiana, East Carroll",Louisiana,East Carroll,32.0,13.2,12.0,14.5
"Kentucky, Hopkins",Kentucky,Hopkins,24.6,11.3,9.9,12.9
"Kansas, Logan",Kansas,Logan,17.6,7.8,6.6,9.0
"Kentucky, Knott",Kentucky,Knott,29.8,16.0,13.8,18.3
"Kentucky, Adair",Kentucky,Adair,26.9,12.7,11.0,14.4
"Kentucky, Montgomery",Kentucky,Montgomery,25.6,11.7,10.2,13.4
"Louisiana, St. James",Louisiana,St. James,22.1,8.7,7.7,9.7
"Kentucky, Pike",Kentucky,Pike,27.5,14.3,12.4,16.5
"Kansas, Hamilton",Kansas,Hamilton,17.6,6.3,5.4,7.2
"Kansas, Sedgwick",Kansas,Sedgwick,16.8,6.2,5.3,7.1
"Kentucky, Casey",Kentucky,Casey,28.7,14.8,12.6,16.8
"Louisiana, West Feliciana",Louisiana,West Feliciana,21.3,7.2,6.2,8.2
"Kentucky, Lewis",Kentucky,Lewis,30.8,15.4,13.4,17.4
"Kansas, Cowley",Kansas,Cowley,18.6,7.3,6.4,8.4
"Louisiana, West Baton Rouge",Louisiana,West Baton Rouge,20.9,7.2,6.4,8.0
"Kentucky, Jefferson",Kentucky,Jefferson,21.8,8.8,7.6,10.1
"Louisiana, Webster",Louisiana,Webster,24.9,11.8,10.5,13.1
"Kansas, Cherokee",Kansas,Cherokee,20.2,9.0,7.9,10.3
"Kansas, Pawnee",Kansas,Pawnee,17.5,7.3,6.2,8.4
"Louisiana, Madison",Louisiana,Madison,29.0,11.4,10.4,12.7
"Kentucky, McLean",Kentucky,McLean,23.6,11.6,10.1,13.2
"Louisiana, Allen",Louisiana,Allen,24.2,8.7,7.7,9.7
"Kentucky, Carlisle",Kentucky,Carlisle,25.0,12.9,11.1,14.7
"Kansas, Kingman",Kansas,Kingman,15.8,7.1,6.0,8.3
"Kentucky, Boone",Kentucky,Boone,18.1,7.4,6.3,8.7
"Kentucky, Allen",Kentucky,Allen,26.5,11.9,10.2,13.6
"Louisiana, Iberville",Louisiana,Iberville,23.8,9.0,8.1,10.0
"Kentucky, Perry",Kentucky,Perry,28.9,14.0,12.0,16.1
"Kansas, Pottawatomie",Kansas,Pottawatomie,15.6,6.0,5.1,7.0
"Louisiana, Washington",Louisiana,Washington,26.1,11.1,9.9,12.3
"Louisiana, Morehouse",Louisiana,Morehouse,26.5,11.3,10.2,12.6
"Kentucky, Hardin",Kentucky,Hardin,23.0,8.7,7.6,9.8
"Kentucky, Marion",Kentucky,Marion,27.4,12.7,11.1,14.3
"Louisiana, Bienville",Louisiana,Bienville,25.2,11.8,10.7,13.0
"Kentucky, McCracken",Kentucky,McCracken,21.4,10.4,8.9,11.9
"Kansas, Linn",Kansas,Linn,19.7,9.4,8.1,10.8
"Kentucky, Menifee",Kentucky,Menifee,27.2,14.4,12.5,16.4
"Kansas, Saline",Kansas,Saline,16.7,6.5,5.5,7.6
"Kentucky, Clinton",Kentucky,Clinton,29.4,15.5,13.6,17.7
"Kentucky, Hart",Kentucky,Hart,27.9,13.5,11.7,15.3
"Maine, Androscoggin",Maine,Androscoggin,19.0,9.1,7.7,10.5
"Kentucky, Todd",Kentucky,Todd,25.9,11.7,10.2,13.2
"Kentucky, Grayson",Kentucky,Grayson,27.7,13.5,11.7,15.2
"Kansas, Lincoln",Kansas,Lincoln,16.4,8.3,7.0,9.7
"Kansas, Cloud",Kansas,Cloud,17.3,8.1,6.9,9.3
"Kentucky, Hickman",Kentucky,Hickman,25.2,14.2,12.4,16.1
"Kansas, Smith",Kansas,Smith,16.5,8.6,7.3,10.1
"Kentucky, Calloway",Kentucky,Calloway,20.5,9.5,8.2,10.9
"Louisiana, Ouachita",Louisiana,Ouachita,22.7,9.0,8.0,10.1
"Louisiana, Orleans",Louisiana,Orleans,21.5,7.1,6.2,8.0
"Louisiana, Franklin",Louisiana,Franklin,26.4,12.0,10.6,13.3
"Kentucky, Trigg",Kentucky,Trigg,21.9,11.0,9.6,12.5
"Kansas, Hodgeman",Kansas,Hodgeman,14.6,7.2,5.9,8.7
"Kansas, Stanton",Kansas,Stanton,16.1,6.7,5.8,7.7
"Kentucky, Martin",Kentucky,Martin,28.0,11.9,10.3,13.6
"Louisiana, Grant",Louisiana,Grant,24.8,8.9,7.9,9.9
"Kentucky, Simpson",Kentucky,Simpson,23.9,10.5,9.2,11.8
"Kansas, Barber",Kansas,Barber,19.4,9.0,7.6,10.5
"Kentucky, Green",Kentucky,Green,26.9,13.9,12.0,16.0
"Kansas, Lane",Kansas,Lane,16.5,7.9,6.8,9.2
"Kentucky, Meade",Kentucky,Meade,23.1,9.4,8.1,10.8
"Louisiana, Sabine",Louisiana,Sabine,23.5,10.2,9.1,11.3
"Louisiana, Catahoula",Louisiana,Catahoula,25.6,10.3,9.1,11.6
"Kansas, Haskell",Kansas,Haskell,17.5,7.1,6.1,8.1
"Kentucky, Henderson",Kentucky,Henderson,24.8,11.0,9.5,12.5
"Kentucky, Bourbon",Kentucky,Bourbon,23.8,11.2,9.6,12.8
"Louisiana, Tangipahoa",Louisiana,Tangipahoa,22.5,8.9,7.9,9.9
"Kansas, Wilson",Kansas,Wilson,19.5,9.1,7.7,10.5
"Kentucky, Marshall",Kentucky,Marshall,21.7,10.7,9.2,12.3
"Kansas, Rice",Kansas,Rice,15.9,7.0,6.0,8.1
"Kentucky, Hancock",Kentucky,Hancock,23.9,11.0,9.6,12.5
"Louisiana, Winn",Louisiana,Winn,24.0,9.9,8.8,11.1
"Louisiana, Calcasieu",Louisiana,Calcasieu,22.0,8.1,7.1,9.1
"Louisiana, LaSalle",Louisiana,LaSalle,25.6,10.0,8.8,11.3
"Louisiana, Vernon",Louisiana,Vernon,22.2,7.1,6.3,7.9
"Kentucky, Carroll",Kentucky,Carroll,27.3,12.2,10.7,13.9
"Louisiana, Caldwell",Louisiana,Caldwell,26.0,10.9,9.6,12.3
"Louisiana, St. Charles",Louisiana,St. Charles,18.7,6.7,5.9,7.6
"Louisiana, Jackson",Louisiana,Jackson,24.6,10.6,9.3,11.9
"Kansas, Finney",Kansas,Finney,17.6,5.5,4.8,6.2
"Kentucky, Lee",Kentucky,Lee,35.4,17.4,15.1,19.6
"Kansas, Chautauqua",Kansas,Chautauqua,19.8,10.5,9.0,11.9
"Kansas, Scott",Kansas,Scott,16.1,6.9,5.7,8.1
"Kansas, Allen",Kansas,Allen,18.7,8.4,7.2,9.7
"Kentucky, Pulaski",Kentucky,Pulaski,26.1,12.7,11.0,14.7
"Kansas, Riley",Kansas,Riley,14.0,4.5,3.9,5.0
"Kansas, Crawford",Kansas,Crawford,17.5,7.0,5.9,8.0
"Kansas, Johnson",Kansas,Johnson,11.8,4.3,3.5,5.1
"Kentucky, Harlan",Kentucky,Harlan,31.0,16.9,14.6,19.3
"Kansas, Stevens",Kansas,Stevens,18.2,7.2,6.3,8.2
"Louisiana, De Soto",Louisiana,De Soto,23.9,9.8,8.7,10.8
"Louisiana, Caddo",Louisiana,Caddo,21.9,8.7,7.7,9.8
"Kansas, Ford",Kansas,Ford,17.5,5.5,4.8,6.2
"Louisiana, St. Tammany",Louisiana,St. Tammany,18.7,7.1,6.1,8.2
"Kentucky, Pendleton",Kentucky,Pendleton,24.5,11.2,9.7,12.8
"Kansas, Woodson",Kansas,Woodson,19.5,10.0,8.6,11.5
"Kentucky, Jackson",Kentucky,Jackson,29.7,14.8,12.6,16.9
"Kentucky, Russell",Kentucky,Russell,25.4,13.1,11.3,15.1
"Louisiana, St. Bernard",Louisiana,St. Bernard,23.8,8.5,7.6,9.5
"Kentucky, Kenton",Kentucky,Kenton,21.1,8.2,6.9,9.7
"Kentucky, Grant",Kentucky,Grant,25.8,10.9,9.6,12.4
