State_County,StateDesc,LocationName,Levels_Smokers,Levels_COPD,Low CL COPD,High CL COPD
"Arkansas, Faulkner",Arkansas,Faulkner,19.3,7.4,6.4,8.5
"Arkansas, Poinsett",Arkansas,Poinsett,24.6,11.2,9.8,12.8
"Arkansas, Pike",Arkansas,Pike,21.6,10.6,9.1,12.0
"Alabama, Baldwin",Alabama,Baldwin,18.9,8.4,7.1,9.9
"Alaska, Kenai Peninsula",Alaska,Kenai Peninsula,19.4,7.4,6.3,8.4
"Alabama, Clarke",Alabama,Clarke,23.4,11.2,10.1,12.4
"Colorado, La Plata",Colorado,La Plata,13.9,5.1,4.3,6.0
"Alaska, Yukon-Koyukuk",Alaska,Yukon-Koyukuk,30.5,10.8,9.7,11.9
"Alabama, Dallas",Alabama,Dallas,23.0,11.1,9.8,12.3
"Alabama, Covington",Alabama,Covington,23.1,11.2,9.8,12.8
"California, Merced",California,Merced,14.4,5.6,5.0,6.1
"Arkansas, Garland",Arkansas,Garland,19.5,10.2,8.9,11.8
"Arizona, Greenlee",Arizona,Greenlee,15.0,5.4,4.9,6.0
"Arizona, Gila",Arizona,Gila,17.6,10.2,9.0,11.7
"Alaska, Juneau",Alaska,Juneau,15.3,5.1,4.5,5.8
"California, Trinity",California,Trinity,16.0,9.7,8.4,11.0
"Alaska, Northwest Arctic",Alaska,Northwest Arctic,34.9,9.6,8.6,10.8
"Alabama, DeKalb",Alabama,DeKalb,24.5,11.3,9.9,12.9
"California, San Francisco",California,San Francisco,9.6,3.6,3.1,4.1
"California, Yuba",California,Yuba,14.8,6.0,5.4,6.7
"Alabama, Randolph",Alabama,Randolph,21.9,10.6,9.1,12.1
"Colorado, Huerfano",Colorado,Huerfano,13.7,7.1,6.1,8.1
"California, Riverside",California,Riverside,12.4,5.2,4.6,5.8
"Colorado, Morgan",Colorado,Morgan,16.5,5.9,5.2,6.7
"California, Imperial",California,Imperial,13.1,5.3,4.6,6.1
"California, Mono",California,Mono,13.0,5.6,4.8,6.4
"Alabama, Cullman",Alabama,Cullman,22.5,10.2,8.8,11.7
"Alabama, Macon",Alabama,Macon,20.4,9.4,8.3,10.7
"Arizona, Pinal",Arizona,Pinal,16.9,7.0,6.1,7.9
"California, Sierra",California,Sierra,13.8,8.9,7.6,10.2
"Alabama, Colbert",Alabama,Colbert,20.5,9.6,8.4,10.9
"Alabama, Henry",Alabama,Henry,21.0,10.5,9.1,11.9
"Alabama, Jefferson",Alabama,Jefferson,17.2,7.7,6.8,8.6
"California, Shasta",California,Shasta,15.3,7.6,6.6,8.7
"Arkansas, Dallas",Arkansas,Dallas,21.6,10.8,9.7,12.0
"Colorado, Pitkin",Colorado,Pitkin,11.0,4.3,3.6,5.3
"Alabama, Russell",Alabama,Russell,21.7,9.0,8.0,9.9
"Colorado, Douglas",Colorado,Douglas,10.0,3.6,3.0,4.3
"Alaska, Sitka",Alaska,Sitka,17.2,5.9,5.3,6.7
"Arkansas, Stone",Arkansas,Stone,22.7,13.5,11.6,15.4
"Alabama, Marengo",Alabama,Marengo,22.6,10.6,9.5,11.7
"Colorado, Adams",Colorado,Adams,15.4,4.5,3.9,5.1
"Alabama, Houston",Alabama,Houston,21.0,9.6,8.3,10.8
"Colorado, Montezuma",Colorado,Montezuma,17.3,7.6,6.4,8.7
"Arizona, Santa Cruz",Arizona,Santa Cruz,13.8,6.3,5.4,7.2
"California, Tehama",California,Tehama,16.1,8.3,7.3,9.4
"California, Modoc",California,Modoc,16.0,9.3,8.1,10.7
"Alaska, Skagway",Alaska,Skagway,17.7,5.8,5.0,6.6
"Arkansas, Sevier",Arkansas,Sevier,20.0,8.6,7.7,9.5
"Arkansas, Lafayette",Arkansas,Lafayette,24.0,12.7,11.3,14.3
"Colorado, Elbert",Colorado,Elbert,13.9,5.5,4.6,6.4
"Arkansas, Greene",Arkansas,Greene,23.2,9.7,8.4,11.2
"Colorado, Montrose",Colorado,Montrose,16.0,7.0,5.9,8.1
"Arizona, Navajo",Arizona,Navajo,19.6,11.1,10.0,12.1
"California, Yolo",California,Yolo,11.4,4.5,4.0,5.2
"Arkansas, Pope",Arkansas,Pope,19.9,8.9,7.7,10.2
"Alabama, Shelby",Alabama,Shelby,15.0,6.3,5.3,7.5
"Colorado, Mineral",Colorado,Mineral,12.4,6.5,5.3,7.9
"Alaska, Aleutians West",Alaska,Aleutians West,17.9,4.3,3.9,4.7
"Alabama, Dale",Alabama,Dale,21.3,9.1,8.0,10.1
"Colorado, Boulder",Colorado,Boulder,10.6,4.1,3.4,4.8
"Alabama, Choctaw",Alabama,Choctaw,22.6,11.9,10.7,13.2
"Colorado, Larimer",Colorado,Larimer,13.3,4.6,3.9,5.4
"Alabama, Crenshaw",Alabama,Crenshaw,22.9,10.7,9.4,12.1
"Alabama, Clay",Alabama,Clay,24.1,12.2,10.8,13.7
"Alabama, Monroe",Alabama,Monroe,23.6,11.8,10.7,12.9
"Alaska, Prince of Wales-Hyder",Alaska,Prince of Wales-Hyder,25.0,9.4,8.4,10.4
"Arkansas, Union",Arkansas,Union,20.6,9.6,8.5,10.8
"Arkansas, Chicot",Arkansas,Chicot,23.7,11.9,10.7,13.3
"Alabama, Talladega",Alabama,Talladega,24.2,10.7,9.5,12.0
"California, San Benito",California,San Benito,11.8,4.5,4.0,5.0
"Arkansas, Johnson",Arkansas,Johnson,24.0,10.9,9.5,12.3
"Arkansas, Saline",Arkansas,Saline,16.7,7.7,6.6,9.0
"Arkansas, Crittenden",Arkansas,Crittenden,23.4,9.9,8.9,11.0
"Alaska, Kusilvak",Alaska,Kusilvak,43.8,13.3,11.9,14.7
"Alaska, Nome",Alaska,Nome,31.6,9.0,8.0,10.0
"Alaska, North Slope",Alaska,North Slope,25.4,6.6,5.9,7.3
"Colorado, Broomfield",Colorado,Broomfield,10.9,3.8,3.2,4.5
"Alabama, Walker",Alabama,Walker,24.8,11.7,10.3,13.3
"Alaska, Yakutat",Alaska,Yakutat,21.5,8.0,7.2,8.9
"California, Sacramento",California,Sacramento,13.3,5.4,4.8,6.0
"Arkansas, Clay",Arkansas,Clay,23.3,12.1,10.4,13.9
"Arkansas, Bradley",Arkansas,Bradley,22.0,9.9,8.8,11.0
"Alabama, Hale",Alabama,Hale,24.3,11.2,10.0,12.4
"Colorado, Eagle",Colorado,Eagle,12.7,4.2,3.5,5.0
"Arkansas, Polk",Arkansas,Polk,22.7,12.3,10.6,14.0
"Alaska, Petersburg",Alaska,Petersburg,17.4,6.7,5.8,7.8
"Alabama, Pike",Alabama,Pike,18.3,8.1,7.2,9.0
"Arkansas, Grant",Arkansas,Grant,20.6,9.3,7.9,10.6
"Colorado, Las Animas",Colorado,Las Animas,14.5,6.6,5.8,7.4
