State_County,State,County,Levels_Smokers,Levels_COPD
"Arizona, Graham",Arizona,Graham,17.1,6.6
"Alabama, Bibb",Alabama,Bibb,24.9,10.1
"Alabama, Butler",Alabama,Butler,23.2,11.1
"Alabama, St. Clair",Alabama,St. Clair,22.8,9.4
"Alabama, Geneva",Alabama,Geneva,24.0,11.8
"Arizona, Apache",Arizona,Apache,23.0,12.2
"Arkansas, Franklin",Arkansas,Franklin,24.6,12.0
"Arkansas, Woodruff",Arkansas,Woodruff,23.3,12.2
"California, Ventura",California,Ventura,10.5,4.7
"Arkansas, Crawford",Arkansas,Crawford,22.1,9.9
"Alabama, Barbour",Alabama,Barbour,26.9,12.3
"Arkansas, Pulaski",Arkansas,Pulaski,19.2,7.6
"Arkansas, Faulkner",Arkansas,Faulkner,19.3,7.4
"Arkansas, Poinsett",Arkansas,Poinsett,24.6,11.2
"Arkansas, Pike",Arkansas,Pike,21.6,10.6
"Alabama, Baldwin",Alabama,Baldwin,18.9,8.4
"Alaska, Kenai Peninsula",Alaska,Kenai Peninsula,19.4,7.4
"Alabama, Clarke",Alabama,Clarke,23.4,11.2
"Colorado, La Plata",Colorado,La Plata,13.9,5.1
"Alaska, Yukon-Koyukuk",Alaska,Yukon-Koyukuk,30.5,10.8
"Alabama, Dallas",Alabama,Dallas,23.0,11.1
"Alabama, Covington",Alabama,Covington,23.1,11.2
"California, Merced",California,Merced,14.4,5.6
"Arkansas, Garland",Arkansas,Garland,19.5,10.2
"Arizona, Greenlee",Arizona,Greenlee,15.0,5.4
"Arizona, Gila",Arizona,Gila,17.6,10.2
"Alaska, Juneau",Alaska,Juneau,15.3,5.1
"California, Trinity",California,Trinity,16.0,9.7
"Alaska, Northwest Arctic",Alaska,Northwest Arctic,34.9,9.6
"Alabama, DeKalb",Alabama,DeKalb,24.5,11.3
"California, San Francisco",California,San Francisco,9.6,3.6
"California, Yuba",California,Yuba,14.8,6.0
"Alabama, Randolph",Alabama,Randolph,21.9,10.6
"Colorado, Huerfano",Colorado,Huerfano,13.7,7.1
"California, Riverside",California,Riverside,12.4,5.2
"Colorado, Morgan",Colorado,Morgan,16.5,5.9
"California, Imperial",California,Imperial,13.1,5.3
"California, Mono",California,Mono,13.0,5.6
"Alabama, Cullman",Alabama,Cullman,22.5,10.2
"Alabama, Macon",Alabama,Macon,20.4,9.4
"Arizona, Pinal",Arizona,Pinal,16.9,7.0
"California, Sierra",California,Sierra,13.8,8.9
"Alabama, Colbert",Alabama,Colbert,20.5,9.6
"Alabama, Henry",Alabama,Henry,21.0,10.5
"Alabama, Jefferson",Alabama,Jefferson,17.2,7.7
"California, Shasta",California,Shasta,15.3,7.6
"Arkansas, Dallas",Arkansas,Dallas,21.6,10.8
"Colorado, Pitkin",Colorado,Pitkin,11.0,4.3
"Alabama, Russell",Alabama,Russell,21.7,9.0
"Colorado, Douglas",Colorado,Douglas,10.0,3.6
"Alaska, Sitka",Alaska,Sitka,17.2,5.9
"Arkansas, Stone",Arkansas,Stone,22.7,13.5
"Alabama, Marengo",Alabama,Marengo,22.6,10.6
"Colorado, Adams",Colorado,Adams,15.4,4.5
"Alabama, Houston",Alabama,Houston,21.0,9.6
"Colorado, Montezuma",Colorado,Montezuma,17.3,7.6
"Arizona, Santa Cruz",Arizona,Santa Cruz,13.8,6.3
"California, Tehama",California,Tehama,16.1,8.3
"California, Modoc",California,Modoc,16.0,9.3
"Alaska, Skagway",Alaska,Skagway,17.7,5.8
"Arkansas, Sevier",Arkansas,Sevier,20.0,8.6
"Arkansas, Lafayette",Arkansas,Lafayette,24.0,12.7
"Colorado, Elbert",Colorado,Elbert,13.9,5.5
"Arkansas, Greene",Arkansas,Greene,23.2,9.7
"Colorado, Montrose",Colorado,Montrose,16.0,7.0
"Arizona, Navajo",Arizona,Navajo,19.6,11.1
"California, Yolo",California,Yolo,11.4,4.5
"Arkansas, Pope",Arkansas,Pope,19.9,8.9
"Alabama, Shelby",Alabama,Shelby,15.0,6.3
"Colorado, Mineral",Colorado,Mineral,12.4,6.5
"Alaska, Aleutians West",Alaska,Aleutians West,17.9,4.3
"Alabama, Dale",Alabama,Dale,21.3,9.1
"Colorado, Boulder",Colorado,Boulder,10.6,4.1
"Alabama, Choctaw",Alabama,Choctaw,22.6,11.9
"Colorado, Larimer",Colorado,Larimer,13.3,4.6
"Alabama, Crenshaw",Alabama,Crenshaw,22.9,10.7
"Alabama, Clay",Alabama,Clay,24.1,12.2
"Alabama, Monroe",Alabama,Monroe,23.6,11.8
"Alaska, Prince of Wales-Hyder",Alaska,Prince of Wales-Hyder,25.0,9.4
"Arkansas, Union",Arkansas,Union,20.6,9.6
"Arkansas, Chicot",Arkansas,Chicot,23.7,11.9
"Alabama, Talladega",Alabama,Talladega,24.2,10.7
"California, San Benito",California,San Benito,11.8,4.5
"Arkansas, Johnson",Arkansas,Johnson,24.0,10.9
"Arkansas, Saline",Arkansas,Saline,16.7,7.7
"Arkansas, Crittenden",Arkansas,Crittenden,23.4,9.9
"Alaska, Kusilvak",Alaska,Kusilvak,43.8,13.3
"Alaska, Nome",Alaska,Nome,31.6,9.0
"Alaska, North Slope",Alaska,North Slope,25.4,6.6
"Colorado, Broomfield",Colorado,Broomfield,10.9,3.8
"Alabama, Walker",Alabama,Walker,24.8,11.7
"Alaska, Yakutat",Alaska,Yakutat,21.5,8.0
"California, Sacramento",California,Sacramento,13.3,5.4
"Arkansas, Clay",Arkansas,Clay,23.3,12.1
"Arkansas, Bradley",Arkansas,Bradley,22.0,9.9
"Alabama, Hale",Alabama,Hale,24.3,11.2
"Colorado, Eagle",Colorado,Eagle,12.7,4.2
"Arkansas, Polk",Arkansas,Polk,22.7,12.3
"Alaska, Petersburg",Alaska,Petersburg,17.4,6.7
"Alabama, Pike",Alabama,Pike,18.3,8.1
"Arkansas, Grant",Arkansas,Grant,20.6,9.3
"Colorado, Las Animas",Colorado,Las Animas,14.5,6.6
"Alaska, Denali",Alaska,Denali,18.7,6.0
"Alabama, Chilton",Alabama,Chilton,23.4,10.5
"Arkansas, Craighead",Arkansas,Craighead,21.3,8.0
"California, Humboldt",California,Humboldt,14.6,7.1
"Arizona, Pima",Arizona,Pima,13.5,6.0
"California, Contra Costa",California,Contra Costa,10.0,4.4
"Colorado, Moffat",Colorado,Moffat,18.5,6.8
"Arkansas, Benton",Arkansas,Benton,16.6,6.5
"Alaska, Lake and Peninsula",Alaska,Lake and Peninsula,29.7,9.7
"Alabama, Pickens",Alabama,Pickens,22.6,10.4
"Alabama, Lowndes",Alabama,Lowndes,24.3,11.8
"Colorado, Park",Colorado,Park,15.4,6.4
"Alabama, Chambers",Alabama,Chambers,22.4,10.4
"Colorado, Phillips",Colorado,Phillips,15.5,7.0
"Arkansas, Hot Spring",Arkansas,Hot Spring,21.9,10.4
"Alabama, Tuscaloosa",Alabama,Tuscaloosa,19.3,7.3
"Arkansas, Hempstead",Arkansas,Hempstead,21.5,10.1
"California, Inyo",California,Inyo,12.9,6.7
"California, Fresno",California,Fresno,14.4,5.4
"Arkansas, Monroe",Arkansas,Monroe,23.8,12.6
"California, Marin",California,Marin,9.0,4.9
"Arkansas, Prairie",Arkansas,Prairie,21.3,11.2
"Alabama, Cherokee",Alabama,Cherokee,23.0,12.0
"California, Madera",California,Madera,14.0,6.0
"Arkansas, Conway",Arkansas,Conway,22.1,10.5
"Colorado, Clear Creek",Colorado,Clear Creek,13.5,5.5
"Colorado, Chaffee",Colorado,Chaffee,14.7,6.5
"Arkansas, Mississippi",Arkansas,Mississippi,24.9,10.4
"California, Orange",California,Orange,10.4,4.3
"Colorado, Costilla",Colorado,Costilla,15.9,8.1
"Alabama, Lee",Alabama,Lee,17.6,6.9
"California, Santa Cruz",California,Santa Cruz,10.8,5.0
"California, Kings",California,Kings,14.5,5.2
"California, San Joaquin",California,San Joaquin,13.9,5.3
"Arkansas, Baxter",Arkansas,Baxter,19.4,11.3
"Arkansas, Fulton",Arkansas,Fulton,23.4,13.9
"Colorado, Grand",Colorado,Grand,15.6,5.9
"Colorado, Ouray",Colorado,Ouray,11.9,5.8
"Alabama, Greene",Alabama,Greene,26.2,13.9
"Alaska, Haines",Alaska,Haines,17.1,7.4
"Alabama, Washington",Alabama,Washington,23.3,11.7
"Arkansas, Randolph",Arkansas,Randolph,23.8,12.0
"Arkansas, Boone",Arkansas,Boone,21.3,10.5
"Colorado, Bent",Colorado,Bent,20.8,7.8
"Arkansas, Clark",Arkansas,Clark,18.1,7.9
"Alaska, Wrangell",Alaska,Wrangell,19.7,8.8
"Florida, Charlotte",Florida,Charlotte,16.1,11.8
"Georgia, McDuffie",Georgia,McDuffie,23.7,10.7
"Georgia, Bibb",Georgia,Bibb,21.7,8.7
"Georgia, Butts",Georgia,Butts,24.6,9.7
"Idaho, Idaho",Idaho,Idaho,17.3,9.8
"Georgia, Gordon",Georgia,Gordon,21.7,9.1
