State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
"California, San Luis Obispo",California,San Luis Obispo,730.0,401.0,297.0,32.0,0.0,0.0,0.0
"California, San Mateo",California,San Mateo,730.0,584.0,144.0,2.0,0.0,0.0,0.0
"California, Santa Barbara",California,Santa Barbara,730.0,546.0,172.0,8.0,4.0,0.0,0.0
"California, Santa Clara",California,Santa Clara,730.0,515.0,201.0,14.0,0.0,0.0,0.0
"California, Santa Cruz",California,Santa Cruz,730.0,702.0,28.0,0.0,0.0,0.0,0.0
"California, Shasta",California,Shasta,729.0,586.0,135.0,8.0,0.0,0.0,0.0
"California, Siskiyou",California,Siskiyou,688.0,643.0,40.0,3.0,2.0,0.0,0.0
"California, Solano",California,Solano,730.0,529.0,191.0,10.0,0.0,0.0,0.0
"California, Sonoma",California,Sonoma,730.0,664.0,66.0,0.0,0.0,0.0,0.0
"California, Stanislaus",California,Stanislaus,730.0,343.0,297.0,77.0,13.0,0.0,0.0
"California, Sutter",California,Sutter,730.0,439.0,277.0,14.0,0.0,0.0,0.0
"California, Tehama",California,Tehama,629.0,453.0,145.0,31.0,0.0,0.0,0.0
"California, Trinity",California,Trinity,388.0,364.0,22.0,2.0,0.0,0.0,0.0
"California, Tulare",California,Tulare,730.0,212.0,304.0,161.0,52.0,1.0,0.0
"California, Tuolumne",California,Tuolumne,719.0,529.0,169.0,21.0,0.0,0.0,0.0
"California, Ventura",California,Ventura,730.0,415.0,266.0,43.0,6.0,0.0,0.0
"California, Yolo",California,Yolo,730.0,533.0,186.0,11.0,0.0,0.0,0.0
"Colorado, Adams",Colorado,Adams,730.0,464.0,259.0,7.0,0.0,0.0,0.0
"Colorado, Alamosa",Colorado,Alamosa,467.0,453.0,12.0,2.0,0.0,0.0,0.0
"Colorado, Arapahoe",Colorado,Arapahoe,703.0,478.0,215.0,10.0,0.0,0.0,0.0
"Colorado, Archuleta",Colorado,Archuleta,717.0,672.0,39.0,5.0,1.0,0.0,0.0
